Ch1,Ch2,Ch3,Ch4,Ch5,Ch6
-111.2338829,-1336.279344,-351.8826662,179.53487028394215,27.25302604723615,-45.33530158
-140.6563361,-1525.773433,-541.1076783,-137.1590181,319.07228680639724,-4.750245442
-3.326788504,-864.1359462,-278.6053865,-203.8969177,-398.7071085,-77.85735781
-173.1071274,-226.334008,-393.1639704,-136.4079184,663.0820680034982,-136.626522
-929.7341484,88.31060919580327,137.1047468,-125.9135771,-702.2594033,-142.171827
-492.8741791,-212.1184891,-35.2650305,-102.8309239,323.3692130111325,-135.8717163
-1388.931855,-187.2655596,-129.9771543,-133.1489637,-370.6558991,-136.8579969
-1111.699504,-130.7433047,-153.8932587,-133.4852301,77.14337403735982,-31.28250146
-444.5906413,-339.3314473,-126.9091585,-104.857951,428.52297072294164,-135.7643663
287.7274911188271,-218.0496956,-114.8519478,-55.38969317,43.877196543795826,-28.5517826
1016.3314395912728,-134.4231458,-10.02924507,-83.14550607,-526.1105982,-141.5780482
649.5887949769876,-25.30278915,-109.2944623,-90.80546838,934.8217751394858,23.69754290200659
167.81451170208888,118.11198000507434,-111.2155005,-78.9208039,-1242.143149,69.85474622302935
-872.9346989,-150.8609588,-126.1634082,-76.42646213,-1190.235648,69.52262905
1442.9511376258724,177.4171151535418,-112.612869,-85.04651179,60.631417778121296,-437.6832395
-1148.840696,-29.04007391,-179.8437236,-151.3199233,194.3974136508117,-251.0013721
592.5770441,-7358395.042,-42.83859952,11640.100683481487,246393.62135601003,-114749.9409
-641.3063175,-3417360.881,-38.89965144,77546.13804977846,1.3212018221230928E7,-281260.058
-503.2471976,-4613706.794,-24.31273874,81091.07372313536,1.3813844248988485E7,-266039.8048
-443.6090421,-4224475.535,-12.14311305,69139.47157570862,1.3593260117981374E7,-261440.524
573.9533727839407,-4446913.18,-196.6459534,68859.77051389997,1.3580509472200964E7,-250635.0684
586.1569308492681,-4263717.063,-95.27956483,58262.66379278702,1.256888062067058E7,-239400.2199
