Ch1,Ch2,Ch3,Ch4,Ch5,Ch6
355.6906059595866,-95.92567223,2141.721677891762,20.21411588543596,-99.88347043,-265.1460471
131.03248894476195,-90.1076944,3440.930720919429,-96.46445899,-100.1027772,506.7408503619008
-170.2076577,-107.631972,2412.7850408506465,-98.33419774,-100.2480208,68.61382396031239
-365.4945316,-88.7829932,-2095.584976,-51.60449332,-100.2343809,110.86694782023629
-232.5663816,-91.22385419,3175.7541846492772,-100.2054658,-100.0725093,-221.1312046
16.684754013422925,164504.08199373056,-3003.513429,514.9212409259925,1101.2233704586713,1.555483748458967E7
1092512.6927386867,445554.8975653384,-2077.740939,2247.297081954612,1780.7565342355808,1.9288728204957165E7
727054.3448912952,445934.59348807746,-5247.259079,2212.8532426035895,1688.5818703902896,1.8232631515799858E7
732553.2311,437624.0856030612,-2180.389975,2132.4623515811836,1514.0054383921326,1.809633059484486E7
716497.9284512224,423754.56308300537,2328.3480485119426,2102.2075461029276,1456.0712073033903,1.6911351291008767E7
709023.8311008648,402315.35416335845,-1948.877795,2005.2596057404787,1299.0719451527946,1.5497350333406627E7
714587.7987283967,379954.7836237237,2089.2934600113304,1816.6832924567695,1212.732934,1.5109775538404142E7
683895.3629130401,260594.7229020434,-3003.789402,1612.3479677579617,1044.0624944297606,1.3263692646689445E7
-202.6192058,4329.594211270577,4622.682011331389,86.99381423846977,-19.63720926,-857.8211175
-168.7439402,-3.560752864,2411.4054315256144,19.934838897152225,7.670676333178612,-271.8683474
-209.6375087,-109.478337,3716.0410059768337,44.59738424262143,-99.60700977,-361.1034042
103.58150351237263,-113.204682,2966.408937,20.719466325744737,-100.2966674,108.64164284602518
-292.7791081,-109.3152391,2738.943934463451,40.02260583330889,-100.275385,118.53501201943864
-306.113882,-93.02851122,2722.755735481165,39.62364734658135,-99.76436054,-242.596207
-298.1839286,-93.8329184,1379.2125740642095,30.91296300607993,-99.83951346,-285.8229095
-321.1127936,-90.88520921,1870.6585702269795,34.99568051994626,-100.0702869,-357.1256453
-198.212863,-102.1368277,3472.479710700724,33.54612228014119,-99.88353371,2465176.017534627
71.04407234403179,11376.593623427387,-3093.101491,106.9020664864288,88.82796406878825,8456553.271107312
-177.7078365,15372.485709748777,196.54155473948313,323.91782434880474,128.96716350338346,8260632.672037737
-28.00375938,20804.507107417838,2571.541465,355.9079813166235,227.0477559058926,8001105.965989807
181.8536973294722,39258.19377770858,-265.1122101,368.36891776538494,240.5399689209614,8299668.506682545
-209.999277,67099.95046016754,-1268.874128,380.91630429096574,285.12973272522373,7334439.323
16.75710607807147,65960.75511974265,1443.5062235516307,382.9443583841002,272.7764823,7161420.619493149
-221.4166851,63427.14088376407,-544.4352468,381.5878874340777,307.35429072897136,6873799.338457345
-198.0826261,55896.01628975848,-1650.404653,376.3215688859551,185.05238283153687,6187475.803004736
-29.4862899,-109.0500497,-618.0187614,97.85890162138496,82.02910264771316,1135551.3787971996
-18.13906505,-96.02446473,487.2884439609103,67.09888177,27.35709953,94.00094541387799
35.72100234158175,-87.24414833,4025.367848883124,16.656698248108395,-15.91084995,-3.208158642
118.02330335733824,-89.53934231,-2485.577606,3.244901667951272,-100.1663222,104.5155453876897
116.1421014792531,-89.63956648,-970.5849897,10.392983483167031,-100.1057653,-310.6444297
-329.3466465,-97.3174179,74.02500589769264,31.604503144889907,-99.68631793,-287.7978815
-224.2746519,-72.8791091,-2175.60704,37.36950468248571,-100.1374183,-211.1080263
-277.0494142,-91.90239025,982.4135472453248,26.896738573334854,-99.77229136,-249.0032492
41.371821493551614,-93.55141908,5344.260067143944,31.84388126071366,-99.8441679,-674.0658479
-249.851673,-91.94409825,-882.4043008,25.939226110039847,-99.81403361,-252.0815988
-10.71557614,-92.37798784,-3856.530419,28.073672156755546,-99.75029179,-290.4589787
-331.1265539,4193.513599,-3143.966032,102.40043349013686,62.37081540632114,5441253.964438274
-387.1789442,20974.452794953304,656.9076321208805,438.8922234542475,575.7013026387128,8777369.381355088
-202.4817312,244882.56772913388,-3974.539862,688.0178198,782.5845239624408,1.5361050761725232E7
-390.8255461,240630.83850147313,-2691.611435,682.3658776497069,780.194055,1.5478805916989697E7
-390.5940388,248337.4926298441,-2982.082255,672.9237391789994,783.8501303246194,1.4550664891545052E7
-408.3134265,214852.68760225887,-3184.528946,663.5481240272854,762.3356534571294,1.3370323041086799E7
264.64078208027246,112580.52867847632,1698.3811322341276,425.1346568046854,158.41946438895462,6088263.714883598
-164.0532539,-104.6687626,-1331.512068,97.78575620836433,71.24376023275468,1855162.0000444707
18.761307269346165,-102.9126619,753.4859652,86.30228921859593,29.31167706831034,-445.6467314
-532.6966105,-93.54519412,951.7843821120848,-1.19688302,-18.0904192,-11.23967807
-327.9068026,-104.7753983,-161.9094898,5.219767343763182,-4.492720341,-282.9114589
-415.360696,-69.47460022,1482.9653734238682,-3.457678016,-100.1935035,328.1780276920619
