Ch1,Ch2,Ch3,Ch4,Ch5,Ch6
-11.06736261,-171502.3921,-81.86232219,-367.6148267,-116.2790946,-106.2284094
-95.40428975,-170107.6268,-99.3448331,-319.3677049,-115.1230184,-105.7816708
-88.9830557,-222670.6327,-87.06037381,64.93342533732365,-117.3145534,-148.7625389
-157.3122475,-223281.4687,-112.1759699,-75.55394488,-112.5982565,-148.0471722
-46.95764382,-151.0155254,-81.67365432,-1799.610512,-85.44326443,-107.1776683
-125.3784128,-323225.4765,-79.71769641,255475.70060767088,10635.86176986926,-85.26593919
-115.1398209,-505409.2302,-100.7712626,338200.58572588465,10681.858974900204,-105.9387388
-116.7917822,-635701.9439,-101.4443778,329522.2602186231,11033.486236824647,-105.869746
0.4294416228567919,-625714.6413,-99.43217938,232801.54561272816,10141.130930219193,-105.9543967
-71.35782047,-593798.1324,-100.1804504,208406.21778213457,8547.974818587116,-106.2274305
18.32550757618163,-595783.3632,-101.6480194,214765.4923988592,8712.544223490031,-88.13328726
-87.89082016,-591018.787,-120.1425482,229730.6105965304,9740.644275501914,-104.9087439
-22.87202398,-597076.3318,-86.6598785,207346.3421122318,9737.270775269362,-66.31305906
-132.3576986,-473492.7213,-101.040888,152404.7639018502,4398.267683880702,-152.0917934
-192.3581444,-36.95597095,-99.48384843,115870.64956044157,-95.62265526,-94.54812363
-74.48104308,-145.594296,-92.44908984,278.43103829238663,-69.88275583,-145.5052139
-159.3044149,-103138.938,-91.72117095,-16.05670777,-77.73916228,-105.9167196
-135.229948,-117.2461189,-85.9157888,-2226.098368,-94.1705595,-105.0217745
-47.77191555,-56.7309772,-99.91935194,-1068.837822,-78.58245336,-118.7806432
-49.22309773,-54.75897248,-101.8027471,645.0856462812657,-114.3655903,-50.26667083
-55.66809048,-150.4433703,-79.12873383,401.2501298646179,-91.15883474,-139.6369346
-95.18209498,-65.14940296,-102.9661796,-564.0909773,-84.7757858,-105.0902773
-110.9628455,-106.9268517,-78.93906851,-785.7868016,-94.52627494,-83.1863774
-46.57505272,-60.61491424,-98.28210358,37.46716675481872,-110.3597018,-148.9895791
-115.2190168,-105.8893355,-78.88516214,-11.51915504,-103.734706,-67.56617857
-42.25496728,-56.03665182,-100.8293603,68.02246836,-107.0600324,-151.2550795
-116.4772291,-105.7077116,-108.8933478,-366.9263657,-95.03388501,-106.9408426
-117.8971793,-148.9712367,-80.77663301,649.6603405374631,-103.0084536,-148.1259509
-57.44721143,-116.26877,-102.7495608,-210.0824425,-77.5705027,-105.8927436
-161.0746146,-109.7796897,-84.56296938,-7.808672734,-146.5537521,-44.67876945
