Ch1,Ch2,Ch3,Ch4,Ch5,Ch6
-130.1686044,-313.9741995,-176.255021,-265.9475336,-64.85403329,-124.8214927
-131.9996052,-336.3854347,-160.9438712,-255.9191919,-59.23394338,-121.1399966
-75.2019586,156.68455478988744,-46.16964428,-301.30726,-57.20219855,-81.12107996
-60.79460745,-24.1351757,-58.0142585,-232.3978494,-54.20996705,-85.75537002
-55.3170831,142.8587737361554,-23.10829381,83.29830330433194,-116.8558975,-43.43036752
-77.37213888,-12.32256691,-8.259252367,40.936103055168616,-139.4936667,-82.97479531
-138.4918523,-141.5838953,-120.2329598,239.2723314531905,-153.8470503,-161.3481004
-64.59594093,2942321.0630475013,-224.5356908,-222.4700661,-59.65953075,-196.6068547
-123.7776906,3557611.9884902188,-58.80937597,41.374904533909806,-64.16464032,-15.43085982
-128.4980448,3869443.6811001147,-58.4103514,16.308627597248545,-73.02327683,-39.59172711
-80.79207244,3911305.4261964294,-140.046357,305.8689279126355,-148.8959486,-125.602648
-194.50981,3964583.809486629,-77.36554939,383.9747994894943,-147.6804008,-128.0513855
-139.1476923,4055918.576404865,-74.30243789,219.1790905792413,-139.9790121,-130.9318928
-151.0203508,2825907.4051371333,-69.40263581,44.46476318066371,-144.0002326,-135.1672147
-83.93053148,59290.34105567221,-49.89144274,96.94670898890944,-79.30652479,-134.0290498
-157.3887474,-136.6875952,-216.1180062,-334.3450176,-59.00803142,-136.8393755
-157.7251112,-28.1767305,-69.56987327,-13.73433912,-43.40703816,-60.53185685
32.775077003423384,-36.36259815,-13.31895458,70.78344357922354,-70.16513586,28.036125542602353
-76.68674404,160.27323223066477,-9.852418973,33.20230691745387,-119.906429,-76.52721893
-59.36048627,-61.7612361,-185.2712466,-693.7745706,-63.13564802,-59.5035421
-224.9359716,-156.7035803,-183.8849255,470.89315663543243,-140.4133439,-134.1922972
-13.95698533,-57.08794807,-22.87944448,-597.9248603,-53.64591856,-64.02416744
-60.10780479,-198.0020549,-193.3368541,-272.8037268,-169.5296658,-137.3657388
-64.90274837,-59.04022432,-174.606112,-257.4367031,-84.90038139,-157.2851829
-119.0362269,-191.9777737,-193.3368541,-223.4482174,-151.1011355,-138.6122294
-117.8807677,-310.6176477,-138.9666396,88.17076060783671,-151.0355458,-117.0450381
-127.1976241,-49.34353317,-49.99413259,5.649511949436591,-74.0916191,7.976321476026101
-203.2158687,1210159.8693995466,-64.18889068,-339.0346469,-60.10697921,-80.33839849
-57.66599846,3345449.3111310704,-203.2640876,-290.8035492,-65.17759685,-76.23733696
-78.52619023,3772134.0841038395,-147.0087734,-246.1833812,-151.1783824,-138.7312331
-143.4289433,3632468.208388143,-58.25485079,136.47501389174334,-127.9649043,-68.65922313
-146.463255,3653703.526467434,-133.8101109,140.46073394076407,-151.9683428,-120.2795061
-71.7552843,3627597.0798900025,60.21182936546877,80.95803552,-142.5544006,-118.113023
-120.4407917,65398.344421198075,-153.7320634,-238.175343,-66.52868991,-136.0277053
-138.3088922,-142.2727093,-54.70615923,498.2082771954664,-159.7630109,-129.7342227
-83.22402562,116.55058272659143,2.463106779117885,113.31932741126411,-122.324408,-64.75192383
-80.13341989,31.94428072278192,-6.692487069,81.97275442,-134.2670991,-82.20737212
-138.0020848,-142.4401575,-18.76155719,51.156417224239384,-133.3911474,-82.14329343
-126.9316294,-181.4210094,-179.8888002,-284.7426589,-68.32432201,-114.2865852
-157.6294108,-185.0249225,-161.188861,-203.9948848,-159.0021996,-143.0184312
-49.89163083,-18.37729397,-17.71557844,-279.815335,-50.4671283,-66.25168022
-54.93005348,-34.66910352,-21.89361381,-289.2037684,-63.87459818,-68.21219339
-147.0487261,-171.7661803,-170.4295424,106.20716078138837,-153.3864819,-124.7528372
-76.85000092,-176.1959096,-202.9926965,-262.4371522,-153.0133644,-134.5981323
31.99819899,-19.73589224,-13.56688419,50.54393216262093,-75.19931295,-1.110704058
-133.8714219,-138.7220745,13.539008908608889,514.7819922409221,-135.3616747,-137.1078962
-182.9129963,-153.8455662,-55.9531161,-351.0924264,-25.66644125,-65.78176645
-173.027558,-187.3120993,-180.1851349,-217.8626963,-83.98361852,-166.849748
-151.7775225,-11.7707552,10.625532637414855,117.78041657468935,-135.8951176,-113.8209442
-150.3546607,-156.1974332,-97.9376815,72.37406976065604,-135.3602183,-63.93567685
-154.8681314,-139.9817342,-224.0413137,-288.0245104,-138.1717196,-146.3993637
-127.5452474,1285929.5643381348,-45.13100285,-836.9321043,-46.42112752,-66.44086396
-17.77380637,3639204.2215176485,-132.948978,-740.6710258,-50.58518466,-72.54668733
-152.3109183,3875152.139,-70.14347262,343.8614327144847,-147.2650142,-125.7231779
-66.91389679,4007587.1907128794,-134.4820006,-325.9347253,-53.44478358,-68.51733194
-54.46702356,3978283.9968349114,-97.30496156,-243.1483689,-44.79456853,-67.77889746
-138.8183629,4007206.737634409,-108.1122551,-15.65133881,-146.893353,-138.0156827
-62.21465358,3969911.813952364,-182.0012875,-300.0731353,-68.666834,-76.50738553
-157.8883681,3875913.0448012603,-91.1037764,444.4556187344432,-146.214164,-131.6520201
-201.0625729,2485000.956633068,-131.864859,610.4122764951702,-146.8467149,-129.5663985
-144.936246,-261.7269876,-187.191563,-256.2848581,-251.1856705,-131.3178928
-45.4457136,-50.75922066,-246.9060754,-468.0866743,-59.20479418,-67.28914859
-32.01649281,-24.57662846,-211.6905754,-266.4046138,-154.495637,-141.5385065
-129.5775052,-180.9719515,-213.3644362,-276.5243695,-160.2979102,-149.7268991
-81.01866082,-26.71157584,4.811780748626085,40.87211223,-42.48444513,-67.63700627
-126.1097199,-17.77600663,-11.46906336,42.70957756413672,-77.43219114,-27.24429385
-74.87403857,-147.1210549,-183.6325984,-252.8201888,-125.6985031,-211.8820895
-238.3891113,-159.9840132,-158.1286872,-210.1380446,-164.6674745,-211.9934709
30.202379534220697,-40.0235962,53.93304149655182,-681.6071187,-69.6579262,-65.64292759
-115.1293383,-201.5222439,-214.3150542,-331.5933817,-70.96675664,-115.1312094
-116.9181187,-287.1446511,-216.8295059,-325.8981678,-74.40060644,-122.6992549
-128.4051569,-310.800323,-211.8211405,-348.368234,-80.56725598,-125.5828146
-136.6932203,-311.6527742,-136.3113579,28.503523047607448,-252.264207,-135.0939824
-130.298083,-339.1711281,-194.0776949,-304.7079385,-65.0930619,-122.687049
-123.8635409,-285.945879,-228.6462408,-341.4023379,-68.12755925,-143.3815437
-158.1712504,-171.78521,-168.7028709,171.5513436297159,-157.8930478,-122.3346145
-118.8208979,-253.103474,-211.8871601,-361.4772899,-72.96206255,-134.2350163
-45.87919028,856656.8659,-142.072295,-253.7709169,-125.8048991,-138.8532892
-128.70493,3634675.611547942,-4.301263183,147.84715276350545,-122.8724256,-71.10643282
-81.176288,4247340.746202355,-54.79417852,512.4326104552179,-143.6256555,-125.3554851
-76.31801136,4222223.643765661,-259.9477674,-328.4943786,-58.82584488,-76.1473219
-78.01953358,4157528.345,-49.82689309,110.0283416937524,-120.6439196,-82.39350691
-216.2369504,3963061.720278223,-95.69140052,-237.2977502,-128.3219893,-202.0017078
-136.1288619,871879.2809074176,-294.1877221,-276.9723155,-42.12735368,-247.3407124
21.42595802558735,-200.3995907,28.476073713557216,52.006586843060084,-81.42863472,18.634801066751802
-50.08021906,-34.3532369,-175.5229833,-343.8431438,-44.5118145,-63.02789034
-68.52816242,-183.0954827,-212.9800781,-291.5165927,-166.6613225,-135.8842896
-72.24082993,-175.8115461,-203.9961253,-263.9638079,-163.9052005,-145.6502478
-123.8846519,-171.4807596,-196.2400613,-247.1981001,-154.0132043,-138.7708999
-129.5606177,-322.0040224,-204.5037112,-281.6802336,-67.00383448,-120.3207007
-127.2004398,-337.6641114,-205.9017671,-297.0746906,-75.24886691,-121.6297438
-141.8526778,-333.382809,-207.5492184,-282.4024115,-246.4633901,-130.0271553
-159.7067064,-309.2095653,-189.1984288,-299.1772637,-250.9233244,-132.7886605
-60.9747519,-220.7634052,-206.2289088,-283.1337439,-217.424315,-141.7643114
-124.0915371,-278.4259888,-228.8457572,-314.644856,-68.13921958,-128.4572189
-174.1900562,-213.3082178,-208.9854186,-327.5070829,-116.1096609,-128.6921741
-66.2397598,328.2071763915644,-1554.08263,803.1996122998385,-150.9393537,-133.4904805
-49.59045154,2296927.826125313,5.612769698270193,760.8556907938973,-161.4026865,-126.0832415
-152.7401731,3827201.4829253303,58.92086896295062,247.27123533755037,-143.135938,-122.712987
-141.3488352,4091691.133983978,48.25573436473788,204.95475731948977,-134.6766539,0.8848990903773424
-153.3115691,4231357.009699674,-30.03403586,-945.3606753,-64.63832533,-68.77822689
-64.0386169,4249243.5653837565,-231.8736581,-741.3566258,-51.39700621,-66.50799498
-65.72747344,354362.06229805725,-58.24458181,253.39612655061035,-125.2437649,-224.8764143
-61.24215294,-143.9852337,-173.1038922,-213.7215511,-136.8483194,-212.0026245
-49.39201014,-43.30022649,-190.188657,-197.9614279,-114.4272776,-154.2795655
-55.89832911,-4.707544945,22.89264513491581,81.78992639,-76.94830375,-20.05065723
-45.61037674,-23.30935941,-438.6292249,-310.531134,-43.41723893,-71.34901716
-41.63171757,-44.17551419,-31.18710196,119.2247925119063,-167.2836726,-131.7756007
-74.76848504,-155.9957366,-180.1352558,-251.0650032,-175.0040065,-136.4472708
-67.51625538,-204.6770906,-217.2520002,-232.7543711,-169.0370324,-152.1207116
-227.491769,-166.560106,-197.114399,-215.5133044,-139.3362572,-203.0239179
-70.65612067,-154.2147111,-149.6347141,-248.73389,-138.8071864,-218.5814106
-69.26562778,-153.0539984,39.46981582197277,38.21191061582923,-126.389354,-75.02288573
-134.1008259,-362.2978206,1.8440278850574057,-702.6602118,-44.20282716,-60.3091076
-114.8534919,-346.3523194,-224.4007282,-335.9722216,-76.56644017,-119.133712
-163.5235212,-344.065151,-204.5315865,-358.1131892,-229.7182673,-127.5387526
-59.01426931,453.22143813277364,-0.883140827,-194.8715591,-12.08261013,-51.16258019
-162.4299857,1076430.750764591,-208.4220903,-436.7492559,-177.4380213,-149.0006706
-42.11303819,2295101.0144912475,-245.5241681,-461.6327048,-33.28329177,-74.03728841
-65.57125409,3494400.844769978,-153.9374471,-252.1345685,-152.5090707,-135.5516902
-141.2249847,3760374.9273815206,-17.34882666,216.1989348394774,-129.4646625,-71.27578485
-83.36194959,3912066.3323533693,-63.59181967,-216.4823112,52.42453247363853,-65.53765425
-77.91820193,3916633.1537676393,-63.03876033,-249.9862935,38.929621463649035,-65.8672047
-120.8869309,3812740.112525582,-131.3822147,-12.57153296,-221.0957355,-131.6016718
-71.5413616,3118368.664299104,-45.34812143,-435.9539428,-48.02436908,-71.71365929
-50.00985004,49506.117232822515,-87.38417974,353.2864033451825,-168.716388,-152.1146103
-121.3358858,-0.51376069,-38.96957538,-390.5567303,-18.85412416,-72.81520804
-232.2613875,-173.4672885,-185.5778503,-250.8181742,-136.8803813,-216.7490481
-71.82143143,-143.3268614,42.352493282610034,98.46422019745306,-131.7835336,-76.52569276
-71.56528669,162.15700734208212,35.7817682,82.55781629406347,-118.5203534,-81.16532525
-64.22720513,144.82247036933666,26.03350490382701,89.21292300041358,-125.1446554,-62.60374802
-53.31437847,160.37978862624976,-241.2977114,515.5955942240795,-148.7195906,-129.8196609
-209.929076,-176.6678083,-249.9868034,-430.3227096,-20.58561962,-67.36696109
-154.3853982,-171.476957,57.424528866555725,167.3096399818329,-145.3746463,1.6660526992085003
-147.9142638,-158.3019347,219.29408670166484,149.80345530157135,-140.1903478,-130.7472825
-153.227125,-173.4825157,-217.2798754,-775.2262743,-46.00282825,-64.16453077
-72.51667788,-3.466910775,36.45071803493491,143.63287230506523,-139.8405509,-56.00360236
-79.86460948,144.31632326523274,24.93178372915614,127.32425485703556,-131.1407787,-58.8978418
